texto_original,texto_limpo,tokens,comentarios,likes,compartilhamentos,repostagens,total,data_hora,author_handle,author_displayName,image_ref
Breaking: President Trump's plan to end birthright citizenship has been temporarily blocked by a federal judge,breaking president trumps plan end birthright citizenship temporarily blocked federal judge,"['breaking', 'president', 'trumps', 'plan', 'end', 'birthright', 'citizenship', 'temporarily', 'blocked', 'federal', 'judge']",63,999,87,13,1162,2025-01-23T19:10:49.652Z,wsj.com,The Wall Street Journal,False
Some Los Angeles homes survived the wildfires. But neighborhoods need to be cleared of hazardous material before residents can move back in.,los angeles homes survived wildfires neighborhoods need cleared hazardous material residents move back,"['los', 'angeles', 'homes', 'survived', 'wildfires', 'neighborhoods', 'need', 'cleared', 'hazardous', 'material', 'residents', 'move', 'back']",1,22,1,1,25,2025-01-23T18:04:02.360Z,wsj.com,The Wall Street Journal,False
"Breaking: The Sackler family and the bankrupt drugmaker they own, Purdue Pharma, have struck a new $7.4 billion agreement to settle mass opioid litigation",breaking sackler family bankrupt drugmaker purdue pharma struck new billion agreement settle mass opioid litigation,"['breaking', 'sackler', 'family', 'bankrupt', 'drugmaker', 'purdue', 'pharma', 'struck', 'new', 'billion', 'agreement', 'settle', 'mass', 'opioid', 'litigation']",3,45,12,1,61,2025-01-23T17:42:22.963Z,wsj.com,The Wall Street Journal,False
"President Trump and his allies used the World Economic Forum to offer the global elite a warning: “America First” is back, by any means necessary",president trump allies used world economic forum offer global elite warning america first back means necessary,"['president', 'trump', 'allies', 'used', 'world', 'economic', 'forum', 'offer', 'global', 'elite', 'warning', 'america', 'first', 'back', 'means', 'necessary']",17,14,4,3,38,2025-01-23T17:00:05.152Z,wsj.com,The Wall Street Journal,False
President Trump’s push to grab back power over the Panama Canal is the latest twist in the waterway’s nearly 150-year saga.,president trumps push grab back power panama canal latest twist waterways nearly year saga,"['president', 'trumps', 'push', 'grab', 'back', 'power', 'panama', 'canal', 'latest', 'twist', 'waterways', 'nearly', 'year', 'saga']",5,15,6,0,26,2025-01-23T16:25:03.053Z,wsj.com,The Wall Street Journal,False
Unlimited paid time off is on the rise. It’s not nearly as great a perk as it seems.,unlimited paid time rise nearly great perk seems,"['unlimited', 'paid', 'time', 'rise', 'nearly', 'great', 'perk', 'seems']",9,23,2,0,34,2025-01-23T15:25:03.054Z,wsj.com,The Wall Street Journal,False
Class time has become screen time in American schools. Educators wonder if the rapid tech transformation has really benefited learning—or if it’s done kids a disservice.,class time become screen time american schools educators wonder rapid tech transformation really benefited learningor done kids disservice,"['class', 'time', 'become', 'screen', 'time', 'american', 'schools', 'educators', 'wonder', 'rapid', 'tech', 'transformation', 'really', 'benefited', 'learningor', 'done', 'kids', 'disservice']",13,60,11,2,86,2025-01-23T14:41:02.450Z,wsj.com,The Wall Street Journal,False
"“Emilia Pérez” and “Wicked” dominated the 2025 Oscar nominations, including nods for each for best picture, after the announcement was delayed twice. 🔗 https://on.wsj.com/4aqwso5",emilia pérez wicked dominated oscar nominations including nods best picture announcement delayed twice,"['emilia', 'pérez', 'wicked', 'dominated', 'oscar', 'nominations', 'including', 'nods', 'best', 'picture', 'announcement', 'delayed', 'twice']",4,12,2,0,18,2025-01-23T14:16:20.757Z,wsj.com,The Wall Street Journal,True
The war over cocaine between armed groups in northeastern Colombia has killed about 80 people in recent days and forced tens of thousands to flee their homes,war cocaine armed groups northeastern colombia killed people recent days forced tens thousands flee homes,"['war', 'cocaine', 'armed', 'groups', 'northeastern', 'colombia', 'killed', 'people', 'recent', 'days', 'forced', 'tens', 'thousands', 'flee', 'homes']",0,28,6,2,36,2025-01-22T21:59:02.554Z,wsj.com,The Wall Street Journal,False
"A fast-spreading wildfire sparked in Los Angeles County, prompting new evacuation orders in a region already decimated by historic wildfires this month",fastspreading wildfire sparked los angeles county prompting new evacuation orders region already decimated historic wildfires month,"['fastspreading', 'wildfire', 'sparked', 'los', 'angeles', 'county', 'prompting', 'new', 'evacuation', 'orders', 'region', 'already', 'decimated', 'historic', 'wildfires', 'month']",2,30,13,2,47,2025-01-22T21:37:22.647Z,wsj.com,The Wall Street Journal,False
"When participants at the World Economic Forum look at President Trump’s economic plans, they become more optimistic about the U.S.—but more pessimistic about everywhere else",participants world economic forum look president trumps economic plans become optimistic usbut pessimistic everywhere else,"['participants', 'world', 'economic', 'forum', 'look', 'president', 'trumps', 'economic', 'plans', 'become', 'optimistic', 'usbut', 'pessimistic', 'everywhere', 'else']",30,20,7,1,58,2025-01-22T19:13:02.564Z,wsj.com,The Wall Street Journal,False
Houthi rebels in Yemen have released the crew of the Galaxy Leader more than a year after they seized the ship in the Red Sea and signaled they would stop attacking vessels after the Israel-Hamas cease-fire agreement,houthi rebels yemen released crew galaxy leader year seized ship red sea signaled would stop attacking vessels israelhamas ceasefire agreement,"['houthi', 'rebels', 'yemen', 'released', 'crew', 'galaxy', 'leader', 'year', 'seized', 'ship', 'red', 'sea', 'signaled', 'would', 'stop', 'attacking', 'vessels', 'israelhamas', 'ceasefire', 'agreement']",1,30,13,0,44,2025-01-22T18:55:02.664Z,wsj.com,The Wall Street Journal,False
"The Los Angeles area has long lured transplants with its year-round sunshine and promises of a slower, healthier way of life. Now, warnings of water and air contamination are sparking anxiety.",los angeles area long lured transplants yearround sunshine promises slower healthier way life warnings water air contamination sparking anxiety,"['los', 'angeles', 'area', 'long', 'lured', 'transplants', 'yearround', 'sunshine', 'promises', 'slower', 'healthier', 'way', 'life', 'warnings', 'water', 'air', 'contamination', 'sparking', 'anxiety']",2,17,5,4,28,2025-01-22T18:04:03.346Z,wsj.com,The Wall Street Journal,False
"Young Republicans at Indiana University, Boston College and elsewhere are politically obsessed and more vocal than they have been in years https://www.wsj.com/us-news/education/young-republicans-college-conservatives-2e423c3f?mod=bluesky",young republicans indiana university boston college elsewhere politically obsessed vocal years,"['young', 'republicans', 'indiana', 'university', 'boston', 'college', 'elsewhere', 'politically', 'obsessed', 'vocal', 'years']",35,14,3,3,55,2025-01-22T17:00:05.857Z,wsj.com,The Wall Street Journal,True
Critics warn the $TRUMP meme coin erodes boundaries between President Trump’s political and business interests,critics warn trump meme coin erodes boundaries president trumps political business interests,"['critics', 'warn', 'trump', 'meme', 'coin', 'erodes', 'boundaries', 'president', 'trumps', 'political', 'business', 'interests']",114,202,20,10,346,2025-01-22T16:25:02.758Z,wsj.com,The Wall Street Journal,False
"One year into his term, Argentine President Javier Milei is curbing public spending, slashing red tape—and offering his services to Donald Trump",one year term argentine president javier milei curbing public spending slashing red tapeand offering services donald trump,"['one', 'year', 'term', 'argentine', 'president', 'javier', 'milei', 'curbing', 'public', 'spending', 'slashing', 'red', 'tapeand', 'offering', 'services', 'donald', 'trump']",8,20,6,3,37,2025-01-22T15:25:03.547Z,wsj.com,The Wall Street Journal,False
Elon Musk said the companies behind a $500 billion AI infrastructure project President Trump unveiled Tuesday don’t have enough money to follow through on their pledges,elon musk said companies behind billion ai infrastructure project president trump unveiled tuesday dont enough money follow pledges,"['elon', 'musk', 'said', 'companies', 'behind', 'billion', 'ai', 'infrastructure', 'project', 'president', 'trump', 'unveiled', 'tuesday', 'dont', 'enough', 'money', 'follow', 'pledges']",19,51,15,10,95,2025-01-22T15:12:58.747Z,wsj.com,The Wall Street Journal,False
"Exclusive: Goldman Sachs and JPMorgan Chase are in the crosshairs of right-leaning activist groups privately pushing them to abandon or shrink their diversity, equity and inclusion efforts",exclusive goldman sachs jpmorgan chase crosshairs rightleaning activist groups privately pushing abandon shrink diversity equity inclusion efforts,"['exclusive', 'goldman', 'sachs', 'jpmorgan', 'chase', 'crosshairs', 'rightleaning', 'activist', 'groups', 'privately', 'pushing', 'abandon', 'shrink', 'diversity', 'equity', 'inclusion', 'efforts']",4,19,9,3,35,2025-01-22T14:41:03.149Z,wsj.com,The Wall Street Journal,False
Exclusive: This year’s WSJ airline rankings ended in a near photo finish. Two U.S. airlines separated themselves from the rest in 2024. Find out how the top nine carriers performed across seven categories.,exclusive years wsj airline rankings ended near photo finish two us airlines separated rest find top nine carriers performed across seven categories,"['exclusive', 'years', 'wsj', 'airline', 'rankings', 'ended', 'near', 'photo', 'finish', 'two', 'us', 'airlines', 'separated', 'rest', 'find', 'top', 'nine', 'carriers', 'performed', 'across', 'seven', 'categories']",1,6,2,0,9,2025-01-22T14:00:06.954Z,wsj.com,The Wall Street Journal,False
President Trump’s blitz of executive orders brings promised changes and surprising risks for business leaders,president trumps blitz executive orders brings promised changes surprising risks business leaders,"['president', 'trumps', 'blitz', 'executive', 'orders', 'brings', 'promised', 'changes', 'surprising', 'risks', 'business', 'leaders']",6,22,6,2,36,2025-01-22T13:08:09.247Z,wsj.com,The Wall Street Journal,False
President Trump signed a sweeping set of executive orders shortly after taking office. Here’s a look at his some of his most significant actions: https://on.wsj.com/4hs9nDX,president trump signed sweeping set executive orders shortly taking office heres look significant actions,"['president', 'trump', 'signed', 'sweeping', 'set', 'executive', 'orders', 'shortly', 'taking', 'office', 'heres', 'look', 'significant', 'actions']",18,30,7,0,55,2025-01-22T01:11:02.366Z,wsj.com,The Wall Street Journal,True
Three of the world’s most prominent tech companies said they will pour as much as half a trillion dollars into building artificial-intelligence infrastructure in the U.S.,three worlds prominent tech companies said pour much half trillion dollars building artificialintelligence infrastructure us,"['three', 'worlds', 'prominent', 'tech', 'companies', 'said', 'pour', 'much', 'half', 'trillion', 'dollars', 'building', 'artificialintelligence', 'infrastructure', 'us']",34,35,10,6,85,2025-01-21T23:01:02.554Z,wsj.com,The Wall Street Journal,False
President Trump is using the threat of stiff tariffs on goods from Canada and Mexico to pressure the two nations to start renegotiating a continental trade deal,president trump using threat stiff tariffs goods canada mexico pressure two nations start renegotiating continental trade deal,"['president', 'trump', 'using', 'threat', 'stiff', 'tariffs', 'goods', 'canada', 'mexico', 'pressure', 'two', 'nations', 'start', 'renegotiating', 'continental', 'trade', 'deal']",22,41,11,4,78,2025-01-21T22:30:06.289Z,wsj.com,The Wall Street Journal,False
Two nights of armed attacks on Palestinian villages in the West Bank by Israeli settlers have left homes and cars destroyed and dozens injured,two nights armed attacks palestinian villages west bank israeli settlers left homes cars destroyed dozens injured,"['two', 'nights', 'armed', 'attacks', 'palestinian', 'villages', 'west', 'bank', 'israeli', 'settlers', 'left', 'homes', 'cars', 'destroyed', 'dozens', 'injured']",13,34,19,3,69,2025-01-21T21:56:02.357Z,wsj.com,The Wall Street Journal,False
"Netflix is raising prices across its existing U.S. plans, aiming to capitalize on surging demand",netflix raising prices across existing us plans aiming capitalize surging demand,"['netflix', 'raising', 'prices', 'across', 'existing', 'us', 'plans', 'aiming', 'capitalize', 'surging', 'demand']",6,10,2,3,21,2025-01-21T21:33:01.449Z,wsj.com,The Wall Street Journal,False
"Pete Hegseth, President Trump’s pick to run the Pentagon, regularly abused alcohol to the point that he passed out at family gatherings, according to an ex-relative’s account of his behavior",pete hegseth president trumps pick run pentagon regularly abused alcohol point passed family gatherings according exrelatives account behavior,"['pete', 'hegseth', 'president', 'trumps', 'pick', 'run', 'pentagon', 'regularly', 'abused', 'alcohol', 'point', 'passed', 'family', 'gatherings', 'according', 'exrelatives', 'account', 'behavior']",87,486,119,17,709,2025-01-21T21:16:45.261Z,wsj.com,The Wall Street Journal,False
"Within hours of returning to the White House, President Trump signed an executive order to end birthright citizenship. Here's what to know.",within hours returning white house president trump signed executive order end birthright citizenship heres know,"['within', 'hours', 'returning', 'white', 'house', 'president', 'trump', 'signed', 'executive', 'order', 'end', 'birthright', 'citizenship', 'heres', 'know']",11,24,6,3,44,2025-01-21T21:00:07.461Z,wsj.com,The Wall Street Journal,False
The alcohol industry depends on people who consume 15 or more drinks a week.,alcohol industry depends people consume drinks week,"['alcohol', 'industry', 'depends', 'people', 'consume', 'drinks', 'week']",14,46,8,12,80,2025-01-21T20:25:02.260Z,wsj.com,The Wall Street Journal,False
Attorneys general from more than a dozen states filed a lawsuit to stop the Trump administration from ending birthright citizenship,attorneys general dozen states filed lawsuit stop trump administration ending birthright citizenship,"['attorneys', 'general', 'dozen', 'states', 'filed', 'lawsuit', 'stop', 'trump', 'administration', 'ending', 'birthright', 'citizenship']",7,120,23,3,153,2025-01-21T20:05:02.563Z,wsj.com,The Wall Street Journal,False
Harvard University settled legal claims alleging the Ivy League school didn’t do enough to protect Jewish students against a wave of antisemitism on campus,harvard university settled legal claims alleging ivy league school didnt enough protect jewish students wave antisemitism campus,"['harvard', 'university', 'settled', 'legal', 'claims', 'alleging', 'ivy', 'league', 'school', 'didnt', 'enough', 'protect', 'jewish', 'students', 'wave', 'antisemitism', 'campus']",2,17,5,0,24,2025-01-21T19:46:02.757Z,wsj.com,The Wall Street Journal,False
The IRS is cracking down on unreported income from online sales.,irs cracking unreported income online sales,"['irs', 'cracking', 'unreported', 'income', 'online', 'sales']",16,11,9,2,38,2025-01-21T19:13:02.348Z,wsj.com,The Wall Street Journal,False
Thousands of flights were canceled Tuesday and airports in Houston suspended operations as a winter storm hit states along the Gulf Coast where snow is rare,thousands flights canceled tuesday airports houston suspended operations winter storm hit states along gulf coast snow rare,"['thousands', 'flights', 'canceled', 'tuesday', 'airports', 'houston', 'suspended', 'operations', 'winter', 'storm', 'hit', 'states', 'along', 'gulf', 'coast', 'snow', 'rare']",4,21,6,2,33,2025-01-21T18:55:02.159Z,wsj.com,The Wall Street Journal,False
"The crypto industry eagerly awaited Donald Trump’s return to the White House. Now, it’s reeling after the president and first lady launched a pair of meme coins.",crypto industry eagerly awaited donald trumps return white house reeling president first lady launched pair meme coins,"['crypto', 'industry', 'eagerly', 'awaited', 'donald', 'trumps', 'return', 'white', 'house', 'reeling', 'president', 'first', 'lady', 'launched', 'pair', 'meme', 'coins']",19,53,15,8,95,2025-01-21T18:30:16.558Z,wsj.com,The Wall Street Journal,False
"“Your body stays there, but your mind goes to the person you love”: Ukrainian former POWs recount the torture methods they endured in Russian captivity and the glimmers of hope that kept them going.",body stays mind goes person love ukrainian former pows recount torture methods endured russian captivity glimmers hope kept going,"['body', 'stays', 'mind', 'goes', 'person', 'love', 'ukrainian', 'former', 'pows', 'recount', 'torture', 'methods', 'endured', 'russian', 'captivity', 'glimmers', 'hope', 'kept', 'going']",0,56,8,2,66,2025-01-21T18:04:03.157Z,wsj.com,The Wall Street Journal,False
Now boarding: frequent-flier free agents. More jet-setters are declaring themselves fed up with jumping through ever-changing hoops to earn and keep top-tier status with major airlines.,boarding frequentflier free agents jetsetters declaring fed jumping everchanging hoops earn keep toptier status major airlines,"['boarding', 'frequentflier', 'free', 'agents', 'jetsetters', 'declaring', 'fed', 'jumping', 'everchanging', 'hoops', 'earn', 'keep', 'toptier', 'status', 'major', 'airlines']",2,14,5,0,21,2025-01-21T17:00:04.757Z,wsj.com,The Wall Street Journal,False
"Some inauguration parties, including a Crypto gala and a Hispanic ball, highlighted new elements of President Trump’s governing coalition.",inauguration parties including crypto gala hispanic ball highlighted new elements president trumps governing coalition,"['inauguration', 'parties', 'including', 'crypto', 'gala', 'hispanic', 'ball', 'highlighted', 'new', 'elements', 'president', 'trumps', 'governing', 'coalition']",7,9,2,1,19,2025-01-21T16:25:03.158Z,wsj.com,The Wall Street Journal,False
"Donald Trump pulled no punches in his combative inaugural speech, offering a sweeping and disruptive agenda.",donald trump pulled punches combative inaugural speech offering sweeping disruptive agenda,"['donald', 'trump', 'pulled', 'punches', 'combative', 'inaugural', 'speech', 'offering', 'sweeping', 'disruptive', 'agenda']",14,14,7,0,35,2025-01-21T15:25:02.754Z,wsj.com,The Wall Street Journal,False
The Donald Trump inauguration seating chart: We break down the new power dynamic in America.,donald trump inauguration seating chart break new power dynamic america,"['donald', 'trump', 'inauguration', 'seating', 'chart', 'break', 'new', 'power', 'dynamic', 'america']",7,19,5,1,32,2025-01-21T14:41:04.945Z,wsj.com,The Wall Street Journal,False
Hamas has sent thousands of its forces onto Gaza’s streets to establish control since a cease-fire came into effect.,hamas sent thousands forces onto gazas streets establish control since ceasefire came effect,"['hamas', 'sent', 'thousands', 'forces', 'onto', 'gazas', 'streets', 'establish', 'control', 'since', 'ceasefire', 'came', 'effect']",9,20,3,5,37,2025-01-21T14:00:04.665Z,wsj.com,The Wall Street Journal,False
"After delivering a sober inaugural address, President Trump cannonballed into an overflow room at the Capitol, where he shed the teleprompter and told the assembled crowd what was really on his mind.",delivering sober inaugural address president trump cannonballed overflow room capitol shed teleprompter told assembled crowd really mind,"['delivering', 'sober', 'inaugural', 'address', 'president', 'trump', 'cannonballed', 'overflow', 'room', 'capitol', 'shed', 'teleprompter', 'told', 'assembled', 'crowd', 'really', 'mind']",6,11,5,1,23,2025-01-21T13:30:04.154Z,wsj.com,The Wall Street Journal,False
"It took only about a day for Chinese censors to crack down on posts from Americans who had flooded onto RedNote, the Chinese social-media app seen as a TikTok alternative",took day chinese censors crack posts americans flooded onto rednote chinese socialmedia app seen tiktok alternative,"['took', 'day', 'chinese', 'censors', 'crack', 'posts', 'americans', 'flooded', 'onto', 'rednote', 'chinese', 'socialmedia', 'app', 'seen', 'tiktok', 'alternative']",12,50,13,2,77,2025-01-21T01:00:02.659Z,wsj.com,The Wall Street Journal,False
"The team of Ukrainian special forces surrounding the North Korean soldier faced a delicate challenge: taking him prisoner while staying alive themselves.

This is how they did it.",team ukrainian special forces surrounding north korean soldier faced delicate challenge taking prisoner staying alive,"['team', 'ukrainian', 'special', 'forces', 'surrounding', 'north', 'korean', 'soldier', 'faced', 'delicate', 'challenge', 'taking', 'prisoner', 'staying', 'alive']",1,48,5,0,54,2025-01-21T00:30:06.053Z,wsj.com,The Wall Street Journal,False
"A growing portion of murder-suicides, while exceedingly rare, are affecting older adults",growing portion murdersuicides exceedingly rare affecting older adults,"['growing', 'portion', 'murdersuicides', 'exceedingly', 'rare', 'affecting', 'older', 'adults']",4,33,8,1,46,2025-01-21T00:00:05.960Z,wsj.com,The Wall Street Journal,False
"All of the living U.S. presidents crammed and five of the planet’s richest men crammed into the Capitol Rotunda for President Trump’s second inauguration.

It was a striking example of the power shift in U.S. politics.",living us presidents crammed five planets richest men crammed capitol rotunda president trumps second inauguration striking example power shift us politics,"['living', 'us', 'presidents', 'crammed', 'five', 'planets', 'richest', 'men', 'crammed', 'capitol', 'rotunda', 'president', 'trumps', 'second', 'inauguration', 'striking', 'example', 'power', 'shift', 'us', 'politics']",11,38,9,1,59,2025-01-20T23:53:03.748Z,wsj.com,The Wall Street Journal,False
"Tallying each property’s condition, the assessments can be a family’s first official word on whether their home—and neighborhood—was destroyed",tallying propertys condition assessments familys first official word whether homeand neighborhoodwas destroyed,"['tallying', 'propertys', 'condition', 'assessments', 'familys', 'first', 'official', 'word', 'whether', 'homeand', 'neighborhoodwas', 'destroyed']",2,26,3,0,31,2025-01-20T23:30:05.766Z,wsj.com,The Wall Street Journal,False
Exclusive: A first look inside Donald Trump’s redecorated Oval Office,exclusive first look inside donald trumps redecorated oval office,"['exclusive', 'first', 'look', 'inside', 'donald', 'trumps', 'redecorated', 'oval', 'office']",35,21,8,4,68,2025-01-20T22:51:45.552Z,wsj.com,The Wall Street Journal,False
President Trump’s expected designation of Mexican cartels and international gangs as foreign terrorists will upend how the U.S. and Latin America conduct the war against criminal organizations that smuggle drugs and weapons,president trumps expected designation mexican cartels international gangs foreign terrorists upend us latin america conduct war criminal organizations smuggle drugs weapons,"['president', 'trumps', 'expected', 'designation', 'mexican', 'cartels', 'international', 'gangs', 'foreign', 'terrorists', 'upend', 'us', 'latin', 'america', 'conduct', 'war', 'criminal', 'organizations', 'smuggle', 'drugs', 'weapons']",19,33,7,3,62,2025-01-20T22:10:02.957Z,wsj.com,The Wall Street Journal,False
Florida’s experience in its crackdown on undocumented workers is instructive as President-elect Donald Trump prepares to overhaul the U.S. immigration system.,floridas experience crackdown undocumented workers instructive presidentelect donald trump prepares overhaul us immigration system,"['floridas', 'experience', 'crackdown', 'undocumented', 'workers', 'instructive', 'presidentelect', 'donald', 'trump', 'prepares', 'overhaul', 'us', 'immigration', 'system']",12,35,10,0,57,2025-01-20T21:56:02.650Z,wsj.com,The Wall Street Journal,False
"The CEO of TikTok, which is under scrutiny for national security concerns, was seated next to Tulsi Gabbard, President Trump’s nominee to be the director of national intelligence, at the Capitol as Trump was sworn in",ceo tiktok scrutiny national security concerns seated next tulsi gabbard president trumps nominee director national intelligence capitol trump sworn,"['ceo', 'tiktok', 'scrutiny', 'national', 'security', 'concerns', 'seated', 'next', 'tulsi', 'gabbard', 'president', 'trumps', 'nominee', 'director', 'national', 'intelligence', 'capitol', 'trump', 'sworn']",29,107,40,8,184,2025-01-20T21:39:21.663Z,wsj.com,The Wall Street Journal,False
"An exuberant Elon Musk received a booming reception from a watch-party audience at Washington's Capital One Arena.

“We’re going to take DOGE to Mars,” he said, referencing the advisory group he will lead.",exuberant elon musk received booming reception watchparty audience washingtons capital one arena going take doge mars said referencing advisory group lead,"['exuberant', 'elon', 'musk', 'received', 'booming', 'reception', 'watchparty', 'audience', 'washingtons', 'capital', 'one', 'arena', 'going', 'take', 'doge', 'mars', 'said', 'referencing', 'advisory', 'group', 'lead']",91,15,7,15,128,2025-01-20T21:10:02.456Z,wsj.com,The Wall Street Journal,False
The head of the Transportation Security Administration said he was pushed out of President Trump’s new administration. David Pekoske had been appointed to the role by Trump in 2017.,head transportation security administration said pushed president trumps new administration david pekoske appointed role trump,"['head', 'transportation', 'security', 'administration', 'said', 'pushed', 'president', 'trumps', 'new', 'administration', 'david', 'pekoske', 'appointed', 'role', 'trump']",5,46,12,1,64,2025-01-20T20:50:02.863Z,wsj.com,The Wall Street Journal,False
Pentagon officials acting on behalf of President Trump removed a new portrait of former Chairman of the Joint Chiefs of Staff Army Gen. Mark Milley within a couple of hours of Trump’s inauguration,pentagon officials acting behalf president trump removed new portrait former chairman joint chiefs staff army gen mark milley within couple hours trumps inauguration,"['pentagon', 'officials', 'acting', 'behalf', 'president', 'trump', 'removed', 'new', 'portrait', 'former', 'chairman', 'joint', 'chiefs', 'staff', 'army', 'gen', 'mark', 'milley', 'within', 'couple', 'hours', 'trumps', 'inauguration']",39,87,35,18,179,2025-01-20T20:41:38.450Z,wsj.com,The Wall Street Journal,False
Watch: Former President Joe Biden departs the U.S. Capitol https://on.wsj.com/4hhigk5,watch former president joe biden departs us capitol,"['watch', 'former', 'president', 'joe', 'biden', 'departs', 'us', 'capitol']",39,351,14,9,413,2025-01-20T20:31:38.047Z,wsj.com,The Wall Street Journal,False
Mexican companies are looking to escape the potential trade war with Donald Trump by casting themselves as North American—not Mexican—businesses,mexican companies looking escape potential trade war donald trump casting north americannot mexicanbusinesses,"['mexican', 'companies', 'looking', 'escape', 'potential', 'trade', 'war', 'donald', 'trump', 'casting', 'north', 'americannot', 'mexicanbusinesses']",6,24,5,1,36,2025-01-20T20:25:02.563Z,wsj.com,The Wall Street Journal,False
"President Trump hinted at imminent pardons for those convicted of criminal offenses in connection to the January 6, 2021 Capitol riot.

“It’s action, not words, that counts. And you’re going to see a lot of action on the J6 hostages,” he said after being sworn in.",president trump hinted imminent pardons convicted criminal offenses connection january capitol riot action words counts youre going see lot action j hostages said sworn,"['president', 'trump', 'hinted', 'imminent', 'pardons', 'convicted', 'criminal', 'offenses', 'connection', 'january', 'capitol', 'riot', 'action', 'words', 'counts', 'youre', 'going', 'see', 'lot', 'action', 'j', 'hostages', 'said', 'sworn']",23,22,5,3,53,2025-01-20T19:40:04.163Z,wsj.com,The Wall Street Journal,False
"Donald Trump has upended progressive cancel culture, but the right has a cancellation problem too. Will the targets simply change?",donald trump upended progressive cancel culture right cancellation problem targets simply change,"['donald', 'trump', 'upended', 'progressive', 'cancel', 'culture', 'right', 'cancellation', 'problem', 'targets', 'simply', 'change']",21,25,8,3,57,2025-01-20T19:13:02.359Z,wsj.com,The Wall Street Journal,False
"Joe Biden departed the U.S. Capitol aboard Marine One, leaving President Trump’s inauguration for an event with staff and friends at Joint Base Andrews. 

Biden shook hands with Trump, while Jill Biden exchanged hugs with Donald and Melania Trump.",joe biden departed us capitol aboard marine one leaving president trumps inauguration event staff friends joint base andrews biden shook hands trump jill biden exchanged hugs donald melania trump,"['joe', 'biden', 'departed', 'us', 'capitol', 'aboard', 'marine', 'one', 'leaving', 'president', 'trumps', 'inauguration', 'event', 'staff', 'friends', 'joint', 'base', 'andrews', 'biden', 'shook', 'hands', 'trump', 'jill', 'biden', 'exchanged', 'hugs', 'donald', 'melania', 'trump']",18,52,2,2,74,2025-01-20T18:33:23.156Z,wsj.com,The Wall Street Journal,False
"President Trump’s inaugural address offered a greatest-hits version of his campaign speeches, laying out his vision and plans for the office. Here are some key themes.",president trumps inaugural address offered greatesthits version campaign speeches laying vision plans office key themes,"['president', 'trumps', 'inaugural', 'address', 'offered', 'greatesthits', 'version', 'campaign', 'speeches', 'laying', 'vision', 'plans', 'office', 'key', 'themes']",9,9,1,0,19,2025-01-20T18:30:11.258Z,wsj.com,The Wall Street Journal,False
"A labor union representing federal government employees sued President Trump in a federal court in Washington as soon as he was sworn in, seeking a court order blocking him from launching the Department of Government Efficiency",labor union representing federal government employees sued president trump federal court washington soon sworn seeking court order blocking launching department government efficiency,"['labor', 'union', 'representing', 'federal', 'government', 'employees', 'sued', 'president', 'trump', 'federal', 'court', 'washington', 'soon', 'sworn', 'seeking', 'court', 'order', 'blocking', 'launching', 'department', 'government', 'efficiency']",62,1142,130,14,1348,2025-01-20T18:10:02.860Z,wsj.com,The Wall Street Journal,False
"Rarely have so many cities ruined by natural disasters attempted to rebuild around the same time. Hurricane reconstruction efforts are under way in North Carolina, Florida, Georgia, South Carolina, Virginia and Tennessee. Soon, Los Angeles County will be starting to rebuild.",rarely many cities ruined natural disasters attempted rebuild around time hurricane reconstruction efforts way north carolina florida georgia south carolina virginia tennessee soon los angeles county starting rebuild,"['rarely', 'many', 'cities', 'ruined', 'natural', 'disasters', 'attempted', 'rebuild', 'around', 'time', 'hurricane', 'reconstruction', 'efforts', 'way', 'north', 'carolina', 'florida', 'georgia', 'south', 'carolina', 'virginia', 'tennessee', 'soon', 'los', 'angeles', 'county', 'starting', 'rebuild']",15,52,18,4,89,2025-01-20T18:04:02.164Z,wsj.com,The Wall Street Journal,False
"President Trump vowed to send American astronauts to the planet Mars in his inaugural address, envisioning a moment when the U.S. flag is planted on Martian soil",president trump vowed send american astronauts planet mars inaugural address envisioning moment us flag planted martian soil,"['president', 'trump', 'vowed', 'send', 'american', 'astronauts', 'planet', 'mars', 'inaugural', 'address', 'envisioning', 'moment', 'us', 'flag', 'planted', 'martian', 'soil']",33,20,5,7,65,2025-01-20T17:53:18.848Z,wsj.com,The Wall Street Journal,False
President Trump takes office with a considerably stronger economy than he left in 2020. The U.S. continues to grow much faster than other advanced nations and unemployment remains low by historical standards.,president trump takes office considerably stronger economy left us continues grow much faster advanced nations unemployment remains low historical standards,"['president', 'trump', 'takes', 'office', 'considerably', 'stronger', 'economy', 'left', 'us', 'continues', 'grow', 'much', 'faster', 'advanced', 'nations', 'unemployment', 'remains', 'low', 'historical', 'standards']",55,68,17,7,147,2025-01-20T17:45:04.950Z,wsj.com,The Wall Street Journal,False
"For the second time in two weeks, all current and former U.S. presidents were in the same room",second time two weeks current former us presidents room,"['second', 'time', 'two', 'weeks', 'current', 'former', 'us', 'presidents', 'room']",10,13,3,2,28,2025-01-20T17:15:02.669Z,wsj.com,The Wall Street Journal,False
Donald Trump is set to enact a sweeping set of executive orders after taking office. Here’s the list so far.,donald trump set enact sweeping set executive orders taking office heres list far,"['donald', 'trump', 'set', 'enact', 'sweeping', 'set', 'executive', 'orders', 'taking', 'office', 'heres', 'list', 'far']",8,11,6,0,25,2025-01-20T17:10:05.648Z,wsj.com,The Wall Street Journal,False
